"fagency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_id"
"LTFRB","","Navotas Terminal Pacita Complex via EDSA","Circimferential Road 4, Malabon City - Plaza Pacita Bus Terminal, National Highway / Pacita Av, San Pedro, Manila","3","","FFFFFF","","LTFRB_PUB1048"
"LTFRB","","Novaliches Baclaran via EDSA Mindanao Ave","Roxas Blvd / T. Claudio Intersection, Parañaque City, Manila - Ramirez / Quirino Highway, Caloocan City","3","","FFFFFF","","LTFRB_PUB1049"
"LTFRB","","Novaliches Baclaran via EDSA Mindanao Ave","Ramirez / Quirino Highway, Caloocan City - Uniwide Coastal Mall, Diosdado Macapagal Blvd, Parañaque City, Manila","3","","FFFFFF","","LTFRB_PUB1050"
"LTFRB","","Novaliches Pacita San Pedro via Malinta","San Pedro College of Business Administration, National Hwy, San Pedro, Manila - Genteral Luis / Reynaldo Road Intersection, Caloocan City","3","","","","LTFRB_PUB1051"
"LTFRB","","Novaliches Pacita San Pedro via Malinta","Genteral Luis / Reynaldo Road Intersection, Caloocan City - San Pedro College of Business Administration, National Hwy, San Pedro, Manila","3","","","","LTFRB_PUB1052"
"LTFRB","","Pandacan Quiapo","Beata, Manila - McArthur Bridge , Manila","3","","","","LTFRB_PUB1053"
"LTFRB","","Pandacan Quiapo","Carlos Palanca Sr, Manila - Beata, Manila","3","","","","LTFRB_PUB1054"
"LTFRB","","Pandacan Sta Cruz via Quiapo","Beata, Manila - McArthur Bridge , Manila","3","","","","LTFRB_PUB1055"
"LTFRB","","Pandacan Sta Cruz via Quiapo","Carlos Palanca Sr, Manila - Beata, Manila","3","","","","LTFRB_PUB1056"
"LTFRB","","SM Fairview Ayala Leveriza via EDSA","Senator Gil Puyat Ave, Lungsod ng Pasay, Manila - SM Public Transport Terminal, Regalado Highway, Quezon City","3","","FFFFFF","","LTFRB_PUB1057"
"LTFRB","","SM Fairview Ayala Leveriza via EDSA","Quirino Highway / Maligaya Intersection, Caloocan City - Senator Gil Puyat Ave, Lungsod ng Pasay, Manila","3","","FFFFFF","","LTFRB_PUB1058"
"LTFRB","","Taguig City Navotas","DBP Ave, Taguig City, Manila, Manila - MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila","3","","","","LTFRB_PUB1059"
"LTFRB","","Taguig City Navotas","Circimferential Road 4, Malabon City - Food Terminal Incorporated, DBP Ave, Taguig City, Manila, Manila","3","","","","LTFRB_PUB1060"
"LTFRB","","Alabang Monumento via EDSA","South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - Epifanio de los Santos Avenue / General Rosendo Simon Intersection , Caloocan City","3","","FFFFFF","","LTFRB_PUB1061"
"LTFRB","","Alabang Monumento via EDSA","Epifanio de los Santos Avenue / General Rosendo Simon Intersection , Caloocan City - Starmall Footbridge, Starmall Starmall Service Rd, Muntinlupa City, Manila","3","","FFFFFF","","LTFRB_PUB1062"
"LTFRB","","Alabang Navotas","South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila","3","","","","LTFRB_PUB1063"
"LTFRB","","Ayala Balintawak","MRT-3 Ayala Station, Makati City, Manila - Balintawak LRT 1, Epifanio de los Santos Ave, Quezon City, Manila","3","","","","LTFRB_PUB1065"
"LTFRB","","Ayala Balintawak","Balintawak LRT 1, Epifanio de los Santos Ave, Quezon City, Manila - Ayala Ave, Makati City, Manila","3","","","","LTFRB_PUB1066"
"LTFRB","","Ayala Fairview via EDSA","Epifanio de los Santos Av, Makati City, Manila - SM Public Transport Terminal, Regalado Highway, Quezon City","3","","FFFFFF","","LTFRB_PUB1067"
"LTFRB","","Ayala Fairview via EDSA","Quirino Highway / Maligaya Intersection, Caloocan City - MRT-3 Ayala Station, Makati City, Manila","3","","FFFFFF","","LTFRB_PUB1068"
"LTFRB","","Ayala Grotto via EDSA","Epifanio de los Santos Av, Makati City, Manila - Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte","3","","FFFFFF","","LTFRB_PUB1069"
"LTFRB","","Ayala Grotto via EDSA","Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte - MRT-3 Ayala Station, Makati City, Manila","3","","FFFFFF","","LTFRB_PUB1070"
"LTFRB","","Ayala Lagro via EDSA","Epifanio de los Santos Av, Makati City, Manila - Polytechnic School, Quirino Highway, Quezon City","3","","FFFFFF","","LTFRB_PUB1071"
"LTFRB","","Ayala Lagro via EDSA","Polytechnic School, Quirino Highway, Quezon City - MRT-3 Ayala Station, Makati City, Manila","3","","FFFFFF","","LTFRB_PUB1072"
"LTFRB","","Ayala Malanday via EDSA","Epifanio de los Santos Avenue / McKinley Rd Intersection, Makati City, Manila - Mercury Drug Store, MacArthur Highway, Malanday, Valenzuela City","3","","FFFFFF","","LTFRB_PUB1073"
"LTFRB","","Ayala Malanday via EDSA","Mercury Drug Store, MacArthur Highway, Malanday, Valenzuela City - MRT-3 Buendia Station, Makati City, Manila","3","","FFFFFF","","LTFRB_PUB1074"
"LTFRB","","FTI-Monumento via EDSA","DBP Ave, Taguig City, Manila, Manila - Epifanio de los Santos Avenue / 5th Street Intersection , Caloocan City","3","","","","LTFRB_PUB1077"
"LTFRB","","FTI-Monumento via EDSA","Epifanio de los Santos Avenue / 5th Street Intersection , Caloocan City - Food Terminal Incorporated, DBP Ave, Taguig City, Manila, Manila","3","","FFFFFF","","LTFRB_PUB1078"
"LTFRB","","Malanday MIA via Pasay Rtda MOA Coastal Road","Natalia, Parañaque City, Manila - Mercury Drug Store, MacArthur Highway, Malanday, Valenzuela City","3","","","","LTFRB_PUB1079"
"LTFRB","","Malanday MIA via Pasay Rtda MOA Coastal Road","Mercury Drug Store, MacArthur Highway, Malanday, Valenzuela City - NAIA Rd, Parañaque City, Manila","3","","","","LTFRB_PUB1080"
"LTFRB","","Malanday Sucat via EDSA","South Luzon Expressway, Muntinlupa City, Manila - Mercury Drug Store, MacArthur Highway, Malanday, Valenzuela City","3","","FFFFFF","","LTFRB_PUB1082"
"LTFRB","","Malanday Sucat via EDSA","Mercury Drug Store, MacArthur Highway, Malanday, Valenzuela City - South Luzon Expressway, Muntinlupa City, Manila","3","","FFFFFF","","LTFRB_PUB1083"
"LTFRB","","Monumento NAIA via EDSA Coastal Rd","Natalia, Parañaque City, Manila - Epifanio de los Santos Avenue / 5th Street Intersection , Caloocan City","3","","FFFFFF","","LTFRB_PUB1084"
"LTFRB","","Monumento NAIA via EDSA Coastal Rd","Epifanio de los Santos Avenue / 5th Street Intersection , Caloocan City - NAIA Rd, Parañaque City, Manila","3","","FFFFFF","","LTFRB_PUB1085"
"LTFRB","","Monumento Philcite via Ayala EDSA","Senator Gil Puyat Ave, Lungsod ng Pasay, Manila - Epifanio de los Santos Avenue / 5th Street Intersection , Caloocan City","3","","FFFFFF","","LTFRB_PUB1086"
"LTFRB","","Monumento Philcite via Ayala EDSA","Epifanio de los Santos Avenue / 5th Street Intersection , Caloocan City - Senator Gil Puyat Ave, Lungsod ng Pasay, Manila","3","","FFFFFF","","LTFRB_PUB1087"
"LTFRB","","Monumento Sucat via EDSA","South Luzon Expressway, Muntinlupa City, Manila - Epifanio de los Santos Avenue / 5th Street Intersection , Caloocan City","3","","FFFFFF","","LTFRB_PUB1088"
"LTFRB","","Monumento Sucat via EDSA","Epifanio de los Santos Avenue / General Rosendo Simon Intersection , Caloocan City - South Luzon Expressway, Muntinlupa City, Manila","3","","FFFFFF","","LTFRB_PUB1089"
"LTFRB","","NAIA SM Fairview","Natalia, Parañaque City, Manila - SM Public Transport Terminal, Regalado Highway, Quezon City","3","","","","LTFRB_PUB1090"
"LTFRB","","NAIA SM Fairview","Quirino Highway / Maligaya Intersection, Caloocan City - NAIA Rd, Parañaque City, Manila","3","","","","LTFRB_PUB1091"
